"displayname","ou","dn","whenchanged","objectguid","syncattrs_hash","dn_hash","whencreated","placeholder"
B011F03稽核科稽核一股(停用),B011F03,"OU=B011F03,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:13,ddbfdfa35a041a4d9e6cdda4f3de0b67,e670a2208e96a5365675d8ae23837b5d380a5548ef1ea3803ed7bf9892fb1ef9,d58534db86c1f605a3c9e83969ed768b989433ac4cee327a17a019131c3046a9,2012-02-06 15:33:22,external
B011F05稽核科稽核股(停用),B011F05,"OU=B011F05,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:15,"1139da3f6365b94ca3cc4ddfbb80dd56",c4d9ee39ef69c8983e7df0ae9cbc8d7114357671cf80e1c9b510d448b9a1fd8a,afd3ce839683d698e4d8881ef068fe6ad74ce7362bddd029a61ce4bf94d834bd,2012-02-06 15:33:24,external
B011F07綜合行政組管考及覆核股,B011F07,"OU=B011F07,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:16,"7dd4921d4171a045b0325bac7d946f29","418f30d32a6eb9b475b9f645a9592274fd24910c40166eddbf25bf529d09dd80","2fa2e9433684a7445266873413a1b3fb019109adb736adb45c21306d00b6d96e",2012-02-06 15:33:26,external
B011F00綜合行政組,B011F00,"OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 20:33:05,"150216c91eeea84da8e79ab42d7e6fa5","47d2934144ad526b646b4faeec303b05efae5845b02998beeaee1cd1583200b1","3d990eeb045a8ed6da4e49a2431e77f54b3ef41cb35aef09923741d9fe8896c8",2012-02-06 15:33:20,external
B011F09綜合規劃科審核員組(停用),B011F09,"OU=B011F09,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-15 13:21:24,bcdc139e27d75b45bdfbf6a87de6a535,d30cd9fc65dae4699532d3867f26cd59ed5194c4b557033b6f8d79d67b96cc08,"52cd3be0aeba72578621ca43474cab60cda438a36623aac1d55a8026b820c362",2012-02-06 15:33:27,external
B011D04徵收科執行股(停用),B011D04,"OU=B011D04,OU=B011D00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:06,"510501c4d2a99442913e3c7774725fb4","82e0d248ef0e72f6a04da2dc5d53153e311b99114819d3a1a2629b726629284c",da6560bdd32f45aa44b79354fd7ed3752204a5c52924efb9a019193e2e93bf23,2012-02-06 15:33:09,external
B011D03徵收科欠稅清理股(停用),B011D03,"OU=B011D03,OU=B011D00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:05,"1d00691be1e7274cb08ab5bb3b44d651","84aa2a32fd549c8ef61ca5d2aaca643275018cc3810bfc8905756b2e4c5a2da5",d2778c3db24c968feb8ac3747d7c2fd584f3eb35fe1f8bb8a7f48849df88d614,2012-02-06 15:33:08,external
B011E03審查三科查緝二股(停用),B011E03,"OU=B011E03,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-15 13:20:43,"097ae03fe3cf454eafb21bdceebae978",d5ab6037133c9fc7430f62737cbac5415eaf10e71e2effe7b26aa5c68bb3a33c,a6880f4ce6c58dadaf3bc2820bf6dceecdfa4a5f8e1c8256f23b056b783e975c,2012-02-06 15:33:16,external
B011E02銷售稅組查緝股,B011E02,"OU=B011E02,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:08,"6bea0074cfdb4940b21903be4ff115b1",c001d74b43c107497c0ae13fb224b35ed3a67c5b1718495314dd58a7d8fea5d7,"7c651cd94015f65556ff705587e536999d0548de19d33b57e57f1399f95a8066",2012-02-06 15:33:15,external
B011E01銷售稅組特種消費稅股,B011E01,"OU=B011E01,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:08,"32ab7851614d1a4cb0e99136eb8b42a0","7bff4fd3b1738d36f989865cc7d8ed2017f58a1e6baf4b0df55ac8b1fb932e23","000d7eba0feddf41aa45b049b1ba3663ea464ddf8554ab44068938753c16280a",2012-02-06 15:33:14,external
B011E05審查三科貨物稅及證交稅股(停用),B011E05,"OU=B011E05,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:10,f91e641115f0e14991132eefb1c54800,"3040ae477598b7c95c92ac073132de9e9a36619694397b7b4b14ee1e1bf7166e",f811c9cfb17e1b8727f61af7d31a21862071ae0243bdb93a37b041f3dc33aa70,2012-02-06 15:33:19,external
B011D05徵收科清欠及執行股(停用),B011D05,"OU=B011D05,OU=B011D00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-06-07 11:05:38,e59c7c3af602e64ab8c4b0e3076cdee1,"482b94b3a3978bc9cc228818484022ded309742c7a705f9c134d2a9f2647928f",c0e91184a7dec7011cfa08bb13ca60de6e13a3be86a2dca4a27279415a3297ea,2012-02-06 15:33:10,external
B011F01稽核科審核員組(停用),B011F01,"OU=B011F01,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:13,"3eab78c6d476e44a8449fe16c7335724",d1366efdade223ff1b98a95e68cde965e9ce841dcd81c476bff3b8ab505d2c43,"3e20cf7f142dffb563937c90203c0b7061ed844dc868fb14ccadeb4c441bd0ba",2012-02-06 15:33:21,external
B011F04稽核科稽核二股(停用),B011F04,"OU=B011F04,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:14,"657f6d928d33744d8f8fab0ca55b9d01","5de40752d960734e31de067a626b9a476a3d1b3206b94ca3cf3f09743517205b","9e42b4d894af4c2ea6026baeedb6f62ae6c33d3977914c87fc824085b2e383ce",2012-02-06 15:33:23,external
B011F06綜合行政組規劃設計股,B011F06,"OU=B011F06,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:15,dfb74f2d51d9c34798226d125a0f295d,fac6bbc83de21d3942480539c6a1d92e7e3d9dfc3f8b5920016ba662a8018559,"2205b277435b8b5761d7363af954f0f7fb13035a0d04662e79e1e729e90ee8af",2012-02-06 15:33:25,external
B011D00徵收科,B011D00,"OU=B011D00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 20:33:04,"0c6225bb39edc24a82f62ac624fffd58","9beecee5e98f8b60c48a5fe026155e92c8c1440ea2ff3881f714664a9ea09b8e",c566fa5f803f75eca75ce9ecd0fb7bc6f6089ef33d1211dbcd058cd3802582fa,2012-02-06 15:33:05,external
